Wavelength	Absorbance
nm	 A
	ATK 61
	
1712	0.09398
1708	0.09428
1704	0.09459
1700	0.09491
1696	0.09531
1692	0.09565
1688	0.09585
1684	0.09629
1680	0.09665
1676	0.0968
1672	0.09709
1668	0.09736
1664	0.09756
1660	0.09784
1656	0.09801
1652	0.09819
1648	0.09836
1644	0.09854
1640	0.09871
1636	0.09887
1632	0.09909
1628	0.09911
1624	0.0992
1620	0.09938
1616	0.09945
1612	0.09952
1608	0.09956
1604	0.09961
1600	0.0995
1596	0.09942
1592	0.09933
1588	0.09912
1584	0.09903
1580	0.09896
1576	0.09883
1572	0.09875
1568	0.09867
1564	0.09862
1560	0.09838
1556	0.0982
1552	0.09798
1548	0.09766
1544	0.09742
1540	0.09719
1536	0.09685
1532	0.09657
1528	0.09627
1524	0.09604
1520	0.09571
1516	0.09541
1512	0.09517
1508	0.09481
1504	0.09446
1500	0.09407
1496	0.09365
1492	0.09334
1488	0.09302
1484	0.09274
1480	0.09231
1476	0.09185
1472	0.09154
1468	0.09113
1464	0.09069
1460	0.09033
1456	0.09003
1452	0.08975
1448	0.08936
1444	0.08883
1440	0.08851
1436	0.08815
1432	0.08782
1428	0.08741
1424	0.08711
1420	0.08681
1416	0.08644
1412	0.08622
1408	0.08588
1404	0.08549
1400	0.08508
1396	0.08491
1392	0.08476
1388	0.08457
1384	0.08438
1380	0.08415
1376	0.08386
1372	0.08372
1368	0.08359
1364	0.08346
1360	0.08324
1356	0.08311
1352	0.08314
1348	0.08318
1344	0.0831
1340	0.08337
1336	0.08456
1332	0.08598
1328	0.08654
1324	0.08631
1320	0.08591
1316	0.08554
1312	0.08524
1308	0.0853
1304	0.08552
1300	0.0859
1296	0.0865
1292	0.08687
1288	0.08655
1284	0.08623
1280	0.08616
1276	0.08632
1272	0.08675
1268	0.08705
1264	0.08725
1260	0.08748
1256	0.08786
1252	0.08838
1248	0.08894
1244	0.08924
1240	0.08942
1236	0.08931
1232	0.08898
1228	0.08851
1224	0.08829
1220	0.0885
1216	0.089
1212	0.08978
1208	0.09075
1204	0.09157
1200	0.09225
1196	0.09241
1192	0.09222
1188	0.09211
1184	0.09221
1180	0.09245
1176	0.09274
1172	0.093
1168	0.0933
1164	0.09375
1160	0.09417
1156	0.09455
1152	0.0949
1148	0.09525
1144	0.09557
1140	0.09589
1136	0.09627
1132	0.09658
1128	0.09688
1124	0.09715
1120	0.09734
1116	0.09753
1112	0.09772
1108	0.09796
1104	0.09819
1100	0.09834
1096	0.09849
1092	0.09857
1088	0.0987
1084	0.09886
1080	0.09896
1076	0.09905
1072	0.09911
1068	0.09908
1064	0.09905
1060	0.09908
1056	0.09904
1052	0.09896
1048	0.09897
1044	0.09898
1040	0.09879
1036	0.09862
1032	0.09861
1028	0.09856
1024	0.09846
1020	0.09838
1016	0.09824
1012	0.09812
1008	0.09797
1004	0.09783
1000	0.09771
996	0.09754
992	0.09733
988	0.09722
984	0.0972
980	0.09713
976	0.09701
972	0.09693
968	0.09693
964	0.09687
960	0.09688
956	0.09686
952	0.09678
948	0.09679
944	0.0969
940	0.09694
936	0.09701
932	0.09719
928	0.09735
924	0.09748
920	0.09764
916	0.09781
912	0.09803
908	0.09815
904	0.09836
900	0.09864
896	0.09886
892	0.0991
888	0.09953
884	0.09992
880	0.10026
876	0.1006
872	0.10092
868	0.10131
864	0.10162
860	0.10252
856	0.10275
852	0.10311
848	0.10363
844	0.10401
840	0.10435
836	0.10487
832	0.10526
828	0.10538
824	0.10582
820	0.10628
816	0.10641
812	0.10714
808	0.10732
804	0.10773
800	0.10795
796	0.10821
792	0.10855
788	0.10877
784	0.10901
780	0.10922
776	0.10929
772	0.10968
768	0.10986
764	0.11004
760	0.11022
756	0.11062
752	0.11093
748	0.1113
744	0.11139
740	0.11164
736	0.11168
732	0.11194
728	0.1123
724	0.1124
720	0.11251
716	0.11286
712	0.1131
708	0.11342
704	0.11379
700	0.11409
696	0.11431
692	0.11458
688	0.11486
684	0.11495
680	0.11518
676	0.11543
672	0.11574
668	0.116
664	0.11612
660	0.11662
656	0.11697
652	0.11715
648	0.11756
644	0.11775
640	0.11813
636	0.11841
632	0.11873
628	0.11895
624	0.11938
620	0.11971
616	0.11998
612	0.12042
608	0.1208
604	0.12116
600	0.12162
596	0.12211
592	0.12249
588	0.123
584	0.12338
580	0.12389
576	0.12445
572	0.12491
568	0.12539
564	0.12603
560	0.12663
556	0.12735
552	0.12811
548	0.12846
544	0.12904
540	0.12965
536	0.13025
532	0.13095
528	0.13178
524	0.13273
520	0.1338
516	0.13468
512	0.1355
508	0.13642
504	0.13729
500	0.13857
496	0.13951
492	0.14059
488	0.14163
484	0.14249
480	0.14353
476	0.1446
472	0.14567
468	0.14702
464	0.14849
460	0.15003
456	0.15139
452	0.15266
448	0.1543
444	0.15602
440	0.15768
436	0.1592
432	0.16099
428	0.16284
424	0.16466
420	0.16675
416	0.1689
412	0.17111
408	0.17354
404	0.17595
400	0.17857
396	0.18118
392	0.18385
388	0.18691
384	0.19021
380	0.19343
376	0.19691
372	0.20062
368	0.20458
364	0.20869
360	0.21308
356	0.21761
352	0.22258
348	0.22776
344	0.23327
340	0.2392
336	0.24544
332	0.2523
328	0.2594
