2768,8.78E-06,1.48E-02,5.95E-04
2768.04,6.96E-06,,4.71E-04
2768.08,5.08E-06,,3.44E-04
2768.12,-4.59E-06,,-3.11E-04
2768.16,-4.25E-06,,-2.88E-04
2768.2,1.25E-05,,8.49E-04
2768.24,1.39E-05,,9.41E-04
2768.28,9.07E-06,,6.14E-04
2768.32,9.57E-06,,6.48E-04
2768.36,1.11E-05,,7.53E-04
2768.4,1.25E-05,,8.45E-04
2768.44,1.14E-05,,7.75E-04
2768.48,-4.02E-06,,-2.72E-04
2768.52,-4.81E-06,,-3.26E-04
2768.56,4.88E-06,,3.30E-04
2768.6,7.88E-06,,5.34E-04
2768.64,8.34E-06,,5.65E-04
2768.68,-4.22E-06,,-2.86E-04
2768.72,6.45E-06,,4.37E-04
2768.76,9.25E-06,,6.27E-04
2768.8,7.77E-06,,5.27E-04
2768.84,6.67E-06,,4.52E-04
2768.88,5.73E-06,,3.88E-04
2768.92,7.44E-07,,5.04E-05
2768.96,1.28E-05,,8.69E-04
2769,1.42E-05,,9.63E-04
2769.04,1.01E-05,,6.84E-04
2769.08,-1.55E-06,,-1.05E-04
2769.12,-1.51E-07,,-1.03E-05
2769.16,3.54E-06,,2.40E-04
2769.2,-6.21E-06,,-4.21E-04
2769.24,2.52E-06,,1.71E-04
2769.28,5.06E-06,,3.43E-04
2769.32,4.12E-06,,2.79E-04
2769.36,6.61E-06,,4.47E-04
2769.4,2.46E-06,,1.67E-04
2769.44,-3.42E-06,,-2.32E-04
2769.48,7.27E-06,,4.92E-04
2769.52,-1.62E-06,,-1.10E-04
2769.56,-2.79E-06,,-1.89E-04
2769.6,5.06E-06,,3.43E-04
2769.64,-1.58E-06,,-1.07E-04
2769.68,-9.87E-07,,-6.69E-05
2769.72,-1.39E-06,,-9.44E-05
2769.76,4.24E-06,,2.87E-04
2769.8,6.06E-07,,4.11E-05
2769.84,2.14E-06,,1.45E-04
2769.88,-1.31E-06,,-8.90E-05
2769.92,-3.08E-06,,-2.09E-04
2769.96,-2.70E-06,,-1.83E-04
2770,-2.73E-07,,-1.85E-05
2770.04,-5.78E-06,,-3.91E-04
2770.08,5.06E-06,,3.43E-04
2770.12,2.73E-06,,1.85E-04
2770.16,6.60E-06,,4.47E-04
2770.2,-5.72E-06,,-3.87E-04
2770.24,1.76E-06,,1.19E-04
2770.28,-2.49E-06,,-1.69E-04
2770.32,5.51E-06,,3.73E-04
2770.36,4.40E-06,,2.98E-04
2770.4,2.20E-06,,1.49E-04
2770.44,-5.84E-07,,-3.96E-05
2770.48,-4.61E-07,,-3.12E-05
2770.52,2.29E-06,,1.55E-04
2770.56,1.22E-05,,8.25E-04
2770.6,3.98E-06,,2.70E-04
2770.64,4.84E-06,,3.28E-04
2770.68,8.67E-06,,5.88E-04
2770.72,4.53E-06,,3.07E-04
2770.76,5.78E-06,,3.92E-04
2770.8,5.83E-06,,3.95E-04
2770.84,9.31E-06,,6.30E-04
2770.88,1.22E-05,,8.27E-04
2770.92,9.64E-08,,6.53E-06
2770.96,8.30E-06,,5.62E-04
2771,8.51E-06,,5.77E-04
2771.04,1.53E-05,,1.04E-03
2771.08,2.22E-06,,1.50E-04
2771.12,5.58E-06,,3.78E-04
2771.16,8.17E-06,,5.53E-04
2771.2,-3.12E-07,,-2.12E-05
2771.24,1.29E-05,,8.71E-04
2771.28,8.10E-06,,5.49E-04
2771.32,4.82E-06,,3.26E-04
2771.36,1.20E-07,,8.14E-06
2771.4,-9.95E-06,,-6.74E-04
2771.44,-1.25E-06,,-8.43E-05
2771.48,1.61E-06,,1.09E-04
2771.52,6.23E-06,,4.22E-04
2771.56,2.41E-06,,1.63E-04
2771.6,-2.70E-06,,-1.83E-04
2771.64,8.86E-07,,6.00E-05
2771.68,1.64E-06,,1.11E-04
2771.72,5.39E-06,,3.65E-04
2771.76,2.14E-06,,1.45E-04
2771.8,6.24E-06,,4.23E-04
2771.84,9.41E-06,,6.38E-04
2771.88,6.29E-06,,4.26E-04
2771.92,-6.33E-08,,-4.29E-06
2771.96,3.92E-06,,2.66E-04
2772,-8.99E-06,,-6.09E-04
2772.04,-9.36E-07,,-6.34E-05
2772.08,2.97E-06,,2.01E-04
2772.12,5.79E-06,,3.92E-04
2772.16,9.88E-06,,6.69E-04
2772.2,1.79E-06,,1.21E-04
2772.24,-1.45E-06,,-9.83E-05
2772.28,5.24E-06,,3.55E-04
2772.32,6.25E-06,,4.24E-04
2772.36,5.73E-06,,3.88E-04
2772.4,5.35E-06,,3.62E-04
2772.44,-2.92E-06,,-1.98E-04
2772.48,-1.08E-06,,-7.32E-05
2772.52,3.24E-06,,2.20E-04
2772.56,6.01E-06,,4.07E-04
2772.6,3.38E-06,,2.29E-04
2772.64,3.48E-07,,2.36E-05
2772.68,-4.31E-06,,-2.92E-04
2772.72,6.02E-06,,4.08E-04
2772.76,5.64E-06,,3.82E-04
2772.8,1.15E-05,,7.76E-04
2772.84,3.77E-06,,2.56E-04
2772.88,6.94E-06,,4.70E-04
2772.92,1.54E-06,,1.04E-04
2772.96,4.57E-06,,3.10E-04
2773,-8.68E-06,,-5.88E-04
2773.04,-3.75E-06,,-2.54E-04
2773.08,8.17E-06,,5.54E-04
2773.12,-1.18E-06,,-7.99E-05
2773.16,-3.71E-07,,-2.51E-05
2773.2,-1.22E-06,,-8.27E-05
2773.24,5.93E-06,,4.02E-04
2773.28,-5.45E-06,,-3.69E-04
2773.32,1.33E-06,,9.04E-05
2773.36,3.96E-06,,2.68E-04
2773.4,1.06E-05,,7.17E-04
2773.44,1.20E-05,,8.15E-04
2773.48,1.12E-05,,7.62E-04
2773.52,5.27E-06,,3.57E-04
2773.56,2.69E-06,,1.82E-04
2773.6,2.76E-06,,1.87E-04
2773.64,1.04E-05,,7.04E-04
2773.68,9.22E-06,,6.24E-04
2773.72,6.23E-06,,4.22E-04
2773.76,6.00E-06,,4.06E-04
2773.8,1.11E-05,,7.52E-04
2773.84,-2.53E-06,,-1.72E-04
2773.88,1.18E-05,,8.02E-04
2773.92,8.79E-06,,5.95E-04
2773.96,7.53E-06,,5.10E-04
2774,-4.07E-06,,-2.76E-04
2774.04,7.46E-06,,5.05E-04
2774.08,7.58E-06,,5.14E-04
2774.12,4.52E-06,,3.06E-04
2774.16,8.49E-06,,5.75E-04
2774.2,9.20E-06,,6.23E-04
2774.24,5.61E-06,,3.80E-04
2774.28,1.26E-05,,8.55E-04
2774.32,1.19E-05,,8.09E-04
2774.36,1.03E-05,,6.94E-04
2774.4,6.85E-06,,4.64E-04
2774.44,5.99E-06,,4.06E-04
2774.48,6.44E-06,,4.37E-04
2774.52,1.06E-05,,7.17E-04
2774.56,1.43E-05,,9.67E-04
2774.6,6.80E-06,,4.61E-04
2774.64,5.23E-06,,3.54E-04
2774.68,4.16E-06,,2.82E-04
2774.72,6.28E-06,,4.25E-04
2774.76,8.00E-06,,5.42E-04
2774.8,1.44E-05,,9.75E-04
2774.84,1.15E-05,,7.78E-04
2774.88,6.64E-06,,4.50E-04
2774.92,7.83E-06,,5.30E-04
2774.96,1.06E-05,,7.17E-04
2775,6.08E-06,,4.12E-04
2775.04,8.99E-06,,6.09E-04
2775.08,4.19E-06,,2.84E-04
2775.12,-7.31E-07,,-4.95E-05
