Wave number (cm-1),Transmitance (%),,
,PB made with 25 g rice bran,PB made with 50 g rice bran,PB made with 100 g rice bran
1406.876,-0.63121,-1.02905,-1.06013
1407.358,-0.64664,-1.04167,-1.07258
1407.84,-0.66163,-1.05362,-1.08497
1408.322,-0.6755,-1.06441,-1.09721
1408.804,-0.68783,-1.07376,-1.10922
1409.286,-0.69846,-1.08157,-1.121
1409.769,-0.70732,-1.08784,-1.13253
1410.251,-0.71439,-1.09259,-1.14378
1410.733,-0.7197,-1.0959,-1.15469
1411.215,-0.72336,-1.09787,-1.16519
1411.697,-0.72562,-1.09878,-1.17515
1412.179,-0.72686,-1.099,-1.18456
1412.661,-0.72746,-1.09885,-1.19344
1413.144,-0.72766,-1.09857,-1.20189
1413.626,-0.72753,-1.09816,-1.21
1414.108,-0.72695,-1.09753,-1.21786
1414.59,-0.72581,-1.09663,-1.22552
1415.072,-0.72416,-1.0955,-1.23301
1415.554,-0.72231,-1.0945,-1.24039
1416.036,-0.7209,-1.09425,-1.24773
1416.519,-0.7208,-1.09553,-1.25518
1417.001,-0.72289,-1.09913,-1.26293
1417.483,-0.72787,-1.10569,-1.27116
1417.965,-0.73605,-1.11546,-1.28001
1418.447,-0.74722,-1.12823,-1.28951
1418.929,-0.76053,-1.14322,-1.29956
1419.411,-0.7745,-1.15902,-1.30979
1419.894,-0.78733,-1.17385,-1.31973
1420.376,-0.79743,-1.18612,-1.3288
1420.858,-0.80392,-1.19493,-1.33666
1421.34,-0.80674,-1.20015,-1.34314
1421.822,-0.80647,-1.20223,-1.3483
1422.304,-0.80405,-1.20199,-1.35233
1422.786,-0.80045,-1.20038,-1.35555
1423.268,-0.79649,-1.19817,-1.3583
1423.75,-0.79273,-1.19595,-1.36086
1424.233,-0.7894,-1.19402,-1.36345
1424.715,-0.78649,-1.19246,-1.36611
1425.197,-0.78387,-1.1912,-1.36886
1425.679,-0.78131,-1.19005,-1.37163
1426.161,-0.77863,-1.18885,-1.3743
1426.643,-0.7757,-1.18747,-1.37673
1427.125,-0.7725,-1.18593,-1.37882
1427.608,-0.76922,-1.18442,-1.38056
1428.09,-0.76618,-1.18327,-1.38197
1428.572,-0.76382,-1.18291,-1.3832
1429.054,-0.76252,-1.18374,-1.38444
1429.536,-0.76252,-1.186,-1.38591
1430.018,-0.76378,-1.18964,-1.38778
1430.5,-0.76585,-1.19419,-1.39015
1430.983,-0.768,-1.19896,-1.39297
1431.465,-0.76934,-1.20308,-1.39608
1431.947,-0.76909,-1.20583,-1.3993
1432.429,-0.7667,-1.20666,-1.40242
1432.911,-0.76185,-1.20529,-1.40529
1433.393,-0.75442,-1.20163,-1.4078
1433.875,-0.74443,-1.19573,-1.40984
1434.358,-0.73206,-1.18779,-1.41136
1434.84,-0.71768,-1.17824,-1.41227
1435.322,-0.70203,-1.16787,-1.41264
1435.804,-0.68637,-1.15791,-1.41274
1436.286,-0.67239,-1.14994,-1.41307
1436.768,-0.66178,-1.14546,-1.41425
1437.25,-0.65586,-1.14553,-1.41683
1437.732,-0.65555,-1.15083,-1.42121
1438.215,-0.66156,-1.16191,-1.42764
1438.697,-0.67455,-1.17925,-1.43623
1439.179,-0.69481,-1.20313,-1.44704
1439.661,-0.72144,-1.23272,-1.45973
1440.143,-0.75144,-1.26522,-1.47341
1440.625,-0.78048,-1.29661,-1.48688
1441.107,-0.80513,-1.32385,-1.49922
1441.59,-0.82416,-1.34608,-1.5102
1442.072,-0.83801,-1.36383,-1.51995
1442.554,-0.84766,-1.37801,-1.52876
1443.036,-0.85406,-1.38937,-1.53682
1443.518,-0.8579,-1.39844,-1.54429
1444,-0.8597,-1.40559,-1.55129
1444.482,-0.85993,-1.41112,-1.5579
1444.965,-0.85905,-1.41537,-1.56422
1445.447,-0.85759,-1.41877,-1.57034
1445.929,-0.85619,-1.42186,-1.57641
1446.411,-0.85544,-1.42521,-1.58258
1446.893,-0.85575,-1.42921,-1.58894
1447.375,-0.85707,-1.4339,-1.59544
1447.857,-0.85885,-1.43878,-1.60187
1448.34,-0.86022,-1.44309,-1.60794
1448.822,-0.86044,-1.44606,-1.6133
1449.304,-0.85898,-1.44721,-1.6177
1449.786,-0.85565,-1.44623,-1.62096
1450.268,-0.85042,-1.44305,-1.62291
1450.75,-0.84332,-1.43765,-1.62344
1451.232,-0.83448,-1.43001,-1.62244
1451.715,-0.82403,-1.42024,-1.61981
1452.197,-0.81228,-1.40855,-1.61554
1452.679,-0.79984,-1.39549,-1.60968
1453.161,-0.78792,-1.38212,-1.60247
1453.643,-0.77829,-1.37012,-1.59427
1454.125,-0.77302,-1.36146,-1.5856
1454.607,-0.77367,-1.35763,-1.57684
1455.089,-0.78042,-1.35879,-1.56803
1455.572,-0.79179,-1.36356,-1.55893
1456.054,-0.80522,-1.36953,-1.54907
1456.536,-0.81829,-1.37452,-1.53815
1457.018,-0.82944,-1.37715,-1.526
1457.5,-0.83803,-1.37688,-1.51258
1457.982,-0.84382,-1.37357,-1.49781
1458.464,-0.84675,-1.36715,-1.48163
1458.947,-0.84674,-1.35763,-1.464
1459.429,-0.84374,-1.34502,-1.44489
1459.911,-0.83778,-1.3295,-1.42437
1460.393,-0.82903,-1.31132,-1.40261
1460.875,-0.81779,-1.2909,-1.37984
1461.357,-0.80443,-1.26862,-1.35628
1461.839,-0.78927,-1.24482,-1.33214
1462.322,-0.77257,-1.21973,-1.30755
1462.804,-0.75445,-1.19345,-1.28256
1463.286,-0.73488,-1.16596,-1.25716
1463.768,-0.7138,-1.13721,-1.23125
1464.25,-0.69113,-1.10713,-1.20467
1464.732,-0.66697,-1.07584,-1.17729
1465.214,-0.64164,-1.04364,-1.14904
1465.697,-0.61567,-1.01102,-1.11998
1466.179,-0.58965,-0.97849,-1.09022
1466.661,-0.56412,-0.94649,-1.05993
1467.143,-0.5395,-0.9154,-1.0293
1467.625,-0.51617,-0.88545,-0.99849
1468.107,-0.49442,-0.85687,-0.96765
1468.589,-0.47451,-0.82983,-0.93689
1469.072,-0.45664,-0.80441,-0.90632
1469.553,-0.44097,-0.78065,-0.87602
1470.036,-0.42756,-0.75855,-0.84609
1470.518,-0.41629,-0.73796,-0.81653
1471,-0.40674,-0.7185,-0.78736
1471.482,-0.39797,-0.69945,-0.7585
1471.964,-0.3883,-0.67938,-0.7297
1472.446,-0.37511,-0.65598,-0.70046
1472.928,-0.35524,-0.62644,-0.67005
1473.411,-0.32599,-0.58838,-0.63777
1473.893,-0.28682,-0.54134,-0.60337
1474.375,-0.24029,-0.48789,-0.56739
1474.857,-0.19132,-0.43269,-0.53095
1475.339,-0.14449,-0.37988,-0.49505
1475.821,-0.10248,-0.3316,-0.46016
1476.303,-0.06629,-0.28852,-0.42643
1476.786,-0.03611,-0.25068,-0.39391
1477.268,-0.01193,-0.21797,-0.36262
1477.75,0.00637,-0.19036,-0.33267
1478.232,0.01892,-0.16775,-0.3042
1478.714,0.02617,-0.14991,-0.27729
1479.196,0.029,-0.13622,-0.25196
1479.678,0.02893,-0.12549,-0.22805
1480.161,0.02782,-0.11614,-0.20517
1480.643,0.02747,-0.10651,-0.18282
1481.125,0.02904,-0.09545,-0.16057
1481.607,0.03279,-0.08259,-0.13825
1482.089,0.03806,-0.06839,-0.11589
1482.571,0.04381,-0.05374,-0.09376
1483.053,0.04904,-0.0395,-0.07212
1483.536,0.05309,-0.02632,-0.05127
1484.018,0.05566,-0.01453,-0.03141
1484.5,0.05666,-0.00431,-0.01275
1484.982,0.05614,0.00428,0.00455
1485.464,0.0542,0.01119,0.02034
1485.946,0.05098,0.01643,0.0345
1486.428,0.04661,0.02009,0.04696
1486.91,0.04123,0.02219,0.05765
1487.393,0.03467,0.02519,0.06646
1487.875,0.02673,0.02759,0.07319
1488.357,0.01655,0.02705,0.07732
1488.839,0.00233,0.02165,0.07797
1489.321,-0.01823,0.00881,0.07399
1489.803,-0.04577,-0.01249,0.0649
1490.285,-0.07724,-0.03919,0.05208
1490.768,-0.10811,-0.06637,0.03792
1491.25,-0.1359,-0.0914,0.02388
1491.732,-0.16039,-0.11409,0.0102
1492.214,-0.18222,-0.13512,-0.0034
1492.696,-0.20218,-0.15524,-0.0173
1493.178,-0.22097,-0.17503,-0.03188
1493.66,-0.23917,-0.19489,-0.04735
1494.143,-0.25719,-0.21502,-0.06351
1494.625,-0.27524,-0.23551,-0.07059
1495.107,-0.29344,-0.25636,-0.0786
1495.589,-0.31188,-0.27762,-0.08737
1496.071,-0.33067,-0.29939,-0.09678
1496.553,-0.34999,-0.32191,-0.10674
1497.035,-0.37025,-0.34555,-0.11726
1497.518,-0.39197,-0.37087,-0.12843
1498,-0.41585,-0.39851,-0.1405
1498.482,-0.44252,-0.42912,-0.15376
1498.964,-0.47231,-0.46298,-0.16845
1499.446,-0.50482,-0.49975,-0.18458
1499.928,-0.53896,-0.53835,-0.20185
1500.41,-0.57337,-0.57745,-0.21967
1500.893,-0.607,-0.61594,-0.23746
1501.375,-0.63937,-0.65333,-0.2548
1501.857,-0.67057,-0.68963,-0.2715
1502.339,-0.70111,-0.72523,-0.28752
1502.821,-0.73176,-0.76075,-0.30301
1503.303,-0.7632,-0.79681,-0.31825
1503.785,-0.79556,-0.83354,-0.33358
1504.267,-0.82769,-0.86998,-0.34918
1504.75,-0.85708,-0.90403,-0.36477
1505.232,-0.88105,-0.93345,-0.37976
1505.714,-0.89825,-0.95724,-0.3935
1506.196,-0.90921,-0.97604,-0.40572
1506.678,-0.91592,-0.99176,-0.4166
1507.16,-0.92107,-1.00692,-0.42663
1507.642,-0.92715,-1.02369,-0.43645
1508.125,-0.9357,-1.04331,-0.44658
1508.607,-0.94707,-1.06581,-0.45731
1509.089,-0.96068,-1.09037,-0.46869
1509.571,-0.97535,-1.11569,-0.48055
1510.053,-0.9897,-1.1404,-0.49262
1510.535,-1.00236,-1.16324,-0.50457
1511.017,-1.01209,-1.18324,-0.51605
1511.5,-1.01798,-1.19965,-0.52674
1511.982,-1.01935,-1.21195,-0.53638
1512.464,-1.01589,-1.21984,-0.54473
1512.946,-1.00778,-1.22337,-0.5516
1513.428,-0.99587,-1.22311,-0.55697
1513.91,-0.98174,-1.22026,-0.56108
1514.392,-0.9675,-1.21666,-0.5644
1514.875,-0.95529,-1.21432,-0.56762
1515.357,-0.94678,-1.21498,-0.57146
1515.839,-0.94253,-1.21951,-0.57647
1516.321,-0.94183,-1.22762,-0.58274
1516.803,-0.94308,-1.23802,-0.58999
1517.285,-0.94465,-1.24918,-0.59771
1517.767,-0.94556,-1.26002,-0.60546
1518.25,-0.94561,-1.27011,-0.61301
1518.731,-0.945,-1.2794,-0.62035
1519.214,-0.9442,-1.28798,-0.62752
1519.696,-0.9437,-1.29607,-0.63461
1520.178,-0.94411,-1.30391,-0.64177
1520.66,-0.94626,-1.31195,-0.64917
1521.142,-0.95123,-1.32088,-0.65706
1521.624,-0.96043,-1.33186,-0.66573
1522.106,-0.97514,-1.34633,-0.67548
1522.589,-0.99535,-1.36532,-0.68634
1523.071,-1.01771,-1.38736,-0.69741
1523.553,-1.03538,-1.40712,-0.70657
1524.035,-1.04299,-1.41927,-0.71191
1524.517,-1.0417,-1.42427,-0.71391
1524.999,-1.03684,-1.42687,-0.71474
1525.481,-1.03236,-1.43038,-0.71594
1525.964,-1.02952,-1.43548,-0.71783
1526.446,-1.02796,-1.44141,-0.72012
1526.928,-1.02662,-1.447,-0.72235
1527.41,-1.02431,-1.45107,-0.72403
1527.892,-1.02016,-1.45285,-0.72479
1528.374,-1.01385,-1.45212,-0.72443
1528.856,-1.00556,-1.44917,-0.72295
1529.339,-0.99576,-1.44445,-0.72047
1529.821,-0.98497,-1.43844,-0.71716
1530.303,-0.9736,-1.4315,-0.71318
1530.785,-0.96188,-1.42376,-0.70866
1531.267,-0.94982,-1.4152,-0.70366
1531.749,-0.93717,-1.40555,-0.69816
1532.231,-0.92341,-1.39434,-0.69205
1532.714,-0.90787,-1.38091,-0.68513
1533.196,-0.89009,-1.36487,-0.67725
1533.678,-0.87026,-1.34638,-0.66843
1534.16,-0.8493,-1.32639,-0.65899
1534.642,-0.8285,-1.30618,-0.64949
1535.124,-0.80891,-1.28686,-0.64051
1535.606,-0.79105,-1.26895,-0.63241
1536.088,-0.77479,-1.25253,-0.62533
1536.571,-0.75951,-1.23715,-0.61918
1537.053,-0.74416,-1.22203,-0.61364
1537.535,-0.72753,-1.2062,-0.60818
1538.017,-0.70888,-1.18895,-0.60218
1538.499,-0.68879,-1.17068,-0.59518
1538.981,-0.6696,-1.15315,-0.58725
1539.463,-0.65431,-1.13868,-0.57896
1539.946,-0.64549,-1.12902,-0.57105
1540.428,-0.64488,-1.12528,-0.56426
1540.91,-0.65358,-1.12807,-0.5593
1541.392,-0.67093,-1.1367,-0.55668
1541.874,-0.69222,-1.14724,-0.55594
1542.356,-0.7099,-1.15359,-0.55532
1542.838,-0.7198,-1.15294,-0.55332
1543.321,-0.72249,-1.14637,-0.54962
1543.803,-0.72035,-1.13621,-0.54451
1544.285,-0.71569,-1.1245,-0.53843
1544.767,-0.7103,-1.11271,-0.53183
1545.249,-0.70539,-1.10175,-0.52505
1545.731,-0.70164,-1.09214,-0.51836
1546.213,-0.69935,-1.08398,-0.51193
1546.696,-0.69836,-1.07708,-0.50582
1547.178,-0.69817,-1.07098,-0.49996
1547.66,-0.69798,-1.06495,-0.49419
1548.142,-0.69684,-1.05813,-0.48824
1548.624,-0.69382,-1.04965,-0.48175
1549.106,-0.68819,-1.03883,-0.47438
1549.588,-0.67977,-1.02535,-0.46582
1550.071,-0.66919,-1.00961,-0.45598
1550.552,-0.65808,-0.9929,-0.44511
1551.035,-0.6487,-0.97726,-0.43384
1551.517,-0.64286,-0.96449,-0.42294
1551.999,-0.64106,-0.95527,-0.41294
1552.481,-0.64212,-0.94878,-0.40389
1552.963,-0.64389,-0.94332,-0.39543
1553.445,-0.64419,-0.93711,-0.38705
1553.927,-0.64142,-0.92904,-0.37826
1554.41,-0.63461,-0.91848,-0.36874
1554.892,-0.62299,-0.90507,-0.35826
1555.374,-0.60564,-0.8882,-0.34653
1555.856,-0.58117,-0.86665,-0.33316
1556.338,-0.54791,-0.83855,-0.31761
1556.82,-0.50502,-0.80193,-0.29946
1557.302,-0.45449,-0.75672,-0.27886
1557.785,-0.40209,-0.7067,-0.25715
1558.267,-0.35462,-0.65803,-0.23633
1558.749,-0.31589,-0.61498,-0.21768
1559.231,-0.28573,-0.57812,-0.20134
1559.713,-0.26157,-0.54562,-0.18672
1560.195,-0.24071,-0.51542,-0.17312
1560.677,-0.22165,-0.48651,-0.16008
1561.16,-0.20424,-0.45904,-0.14751
1561.642,-0.18912,-0.43381,-0.13558
1562.124,-0.17708,-0.41158,-0.12454
1562.606,-0.16855,-0.39272,-0.11455
1563.088,-0.16341,-0.37708,-0.10568
1563.57,-0.16119,-0.3642,-0.0979
1564.052,-0.16116,-0.35343,-0.09111
1564.535,-0.16254,-0.34407,-0.08512
1565.017,-0.16454,-0.3354,-0.07978
1565.499,-0.1664,-0.32675,-0.0749
1565.981,-0.16761,-0.31765,-0.07032
1566.463,-0.168,-0.30792,-0.06594
1566.945,-0.16774,-0.29771,-0.06177
1567.427,-0.16726,-0.28743,-0.05788
1567.909,-0.16704,-0.27752,-0.05436
1568.392,-0.16732,-0.2682,-0.05129
1568.874,-0.16801,-0.25943,-0.04867
1569.356,-0.16882,-0.2509,-0.04641
1569.838,-0.16931,-0.24216,-0.04439
1570.32,-0.16901,-0.2327,-0.04248
1570.802,-0.16752,-0.22207,-0.0406
1571.284,-0.16464,-0.20997,-0.03872
1571.767,-0.16042,-0.19642,-0.03698
1572.249,-0.15501,-0.18161,-0.03566
1572.731,-0.1485,-0.16577,-0.03464
1573.213,-0.14077,-0.14904,-0.03397
1573.695,-0.13135,-0.13121,-0.0336
1574.177,-0.11929,-0.11175,-0.03335
1574.659,-0.10321,-0.08967,-0.03287
1575.142,-0.08165,-0.06388,-0.03158
1575.624,-0.05455,-0.03444,-0.02897
1576.106,-0.026,-0.00479,-0.02538
1576.588,-0.003,0.0193,-0.0224
1577.07,0.01062,0.03506,-0.02134
1577.552,0.01559,0.04345,-0.0224
1578.034,0.01428,0.04656,-0.02523
1578.517,0.00889,0.04617,-0.02944
1578.999,0.00106,0.04622,-0.03468
1579.481,-0.00804,0.04666,-0.04071
1579.963,-0.01757,0.04663,-0.04729
1580.445,-0.027,0.0465,-0.05427
1580.927,-0.03606,0.04646,-0.06147
1581.409,-0.04469,0.04643,-0.06886
1581.892,-0.05305,0.04613,-0.07643
1582.374,-0.06142,0.04514,-0.08433
1582.856,-0.07008,0.04317,-0.09269
1583.338,-0.0791,0.04006,-0.10161
1583.82,-0.08833,0.03603,-0.11114
1584.302,-0.09732,0.03156,-0.12121
1584.784,-0.10539,0.02738,-0.13165
1585.266,-0.11174,0.02433,-0.14222
1585.749,-0.11583,0.02304,-0.15264
1586.231,-0.11603,0.02351,-0.16279
1586.713,-0.11489,0.02501,-0.17273
1587.195,-0.11392,0.02619,-0.18274
1587.677,-0.11457,0.02578,-0.19314
1588.159,-0.11766,0.02312,-0.20414
1588.641,-0.12331,0.01811,-0.21578
1589.124,-0.13121,0.0111,-0.22799
1589.606,-0.14075,0.00255,-0.24068
1590.088,-0.15119,-0.00694,-0.2537
1590.57,-0.16159,-0.0166,-0.26694
1591.052,-0.17086,-0.02554,-0.28019
1591.534,-0.17779,-0.03272,-0.2932
1592.016,-0.18118,-0.03708,-0.30565
1592.499,-0.18022,-0.03792,-0.31725
1592.981,-0.17499,-0.03541,-0.32787
1593.463,-0.16684,-0.03085,-0.33773
1593.945,-0.15796,-0.02633,-0.34738
1594.427,-0.15052,-0.02383,-0.35745
1594.909,-0.14588,-0.02453,-0.36836
1595.391,-0.14461,-0.02887,-0.3803
1595.874,-0.14678,-0.03687,-0.39326
1596.356,-0.15228,-0.04841,-0.40719
1596.838,-0.16101,-0.06337,-0.42197
1597.32,-0.17295,-0.08173,-0.43753
1597.802,-0.18819,-0.10355,-0.45392
1598.284,-0.20685,-0.12895,-0.4713
1598.766,-0.22881,-0.15779,-0.48988
1599.249,-0.25334,-0.18938,-0.50977
1599.73,-0.27898,-0.2223,-0.53079
1600.213,-0.30392,-0.25477,-0.55238
1600.695,-0.32674,-0.28542,-0.57397
1601.177,-0.34683,-0.31367,-0.59508
1601.659,-0.36422,-0.33959,-0.61549
1602.141,-0.37943,-0.36362,-0.63515
1602.623,-0.39312,-0.38632,-0.65419
1603.105,-0.406,-0.40833,-0.6728
1603.588,-0.41881,-0.43029,-0.69125
1604.07,-0.4322,-0.45283,-0.70981
1604.552,-0.44672,-0.47648,-0.72873
1605.034,-0.46265,-0.50159,-0.74824
1605.516,-0.47986,-0.52807,-0.76844
1605.998,-0.49767,-0.55539,-0.78921
1606.48,-0.51506,-0.5826,-0.81027
1606.963,-0.53105,-0.60878,-0.83117
1607.445,-0.54506,-0.63337,-0.85164
1607.927,-0.55709,-0.65633,-0.8715
1608.409,-0.56745,-0.67795,-0.89074
1608.891,-0.57662,-0.69868,-0.90947
1609.373,-0.58501,-0.71885,-0.92783
1609.855,-0.59283,-0.73866,-0.946
1610.338,-0.60003,-0.75798,-0.96409
1610.82,-0.60633,-0.77652,-0.98215
1611.302,-0.61136,-0.79381,-1.00006
1611.784,-0.61486,-0.80956,-1.01768
1612.266,-0.61684,-0.82374,-1.03483
1612.748,-0.61764,-0.83668,-1.0514
1613.23,-0.61782,-0.84891,-1.06737
1613.713,-0.61796,-0.86103,-1.08276
1614.195,-0.61871,-0.87363,-1.09769
1614.677,-0.62054,-0.88715,-1.11226
1615.159,-0.62387,-0.90192,-1.12658
1615.641,-0.62907,-0.91822,-1.14076
1616.123,-0.63656,-0.93633,-1.15487
1616.605,-0.64687,-0.95666,-1.16905
1617.087,-0.66074,-0.97983,-1.18351
1617.57,-0.67903,-1.00658,-1.19859
1618.052,-0.70226,-1.03742,-1.21468
1618.534,-0.72982,-1.07174,-1.23201
1619.016,-0.75948,-1.10737,-1.25026
1619.498,-0.78824,-1.14144,-1.26862
1619.98,-0.81383,-1.1719,-1.28626
1620.462,-0.83539,-1.19817,-1.3027
1620.945,-0.85309,-1.22054,-1.31779
1621.427,-0.86747,-1.23969,-1.33164
1621.909,-0.87911,-1.25617,-1.34441
1622.391,-0.88847,-1.27039,-1.35629
1622.873,-0.89586,-1.28262,-1.36744
1623.355,-0.90151,-1.29305,-1.37798
1623.837,-0.90566,-1.30181,-1.38797
1624.32,-0.90856,-1.3091,-1.39744
1624.802,-0.91061,-1.31526,-1.40644
1625.284,-0.91234,-1.32075,-1.41497
1625.766,-0.91443,-1.3262,-1.42313
1626.248,-0.9177,-1.33241,-1.43106
1626.73,-0.92306,-1.34025,-1.43894
1627.212,-0.93149,-1.35066,-1.44698
1627.695,-0.94406,-1.36463,-1.45537
1628.177,-0.96184,-1.38318,-1.4644
1628.659,-0.98567,-1.40711,-1.47433
1629.141,-1.01556,-1.43655,-1.48536
1629.623,-1.0499,-1.47005,-1.49738
1630.105,-1.08539,-1.50443,-1.50971
1630.587,-1.11828,-1.53605,-1.52146
1631.07,-1.14604,-1.56247,-1.53188
1631.552,-1.16769,-1.58284,-1.54066
1632.034,-1.18327,-1.59726,-1.54763
1632.516,-1.19331,-1.60625,-1.55275
1632.998,-1.19879,-1.6107,-1.55598
1633.48,-1.20137,-1.61216,-1.55746
1633.962,-1.20369,-1.61306,-1.55765
1634.444,-1.20889,-1.6163,-1.55747
1634.927,-1.21994,-1.62452,-1.558
1635.409,-1.23867,-1.63925,-1.5603
1635.891,-1.26445,-1.65983,-1.56482
1636.373,-1.29323,-1.6826,-1.57078
1636.855,-1.31968,-1.70292,-1.57642
1637.337,-1.34058,-1.71815,-1.5804
1637.819,-1.35502,-1.7277,-1.58217
1638.302,-1.36304,-1.73161,-1.58157
1638.784,-1.36482,-1.73003,-1.57859
1639.266,-1.36067,-1.7231,-1.57317
1639.748,-1.35121,-1.71128,-1.56542
1640.23,-1.3376,-1.69549,-1.55562
1640.712,-1.32146,-1.67713,-1.54427
1641.194,-1.30447,-1.65766,-1.53198
1641.677,-1.28795,-1.63823,-1.51925
1642.159,-1.27266,-1.61952,-1.50644
1642.641,-1.25892,-1.60182,-1.49365
1643.123,-1.2468,-1.58517,-1.48087
1643.605,-1.23627,-1.56962,-1.468
1644.087,-1.22731,-1.55518,-1.45491
1644.569,-1.21989,-1.54192,-1.44153
1645.052,-1.21386,-1.52973,-1.42783
1645.534,-1.20882,-1.51835,-1.41382
1646.016,-1.20414,-1.50715,-1.39945
1646.498,-1.1991,-1.49554,-1.38472
1646.98,-1.19323,-1.48306,-1.36961
1647.462,-1.18639,-1.46957,-1.35414
1647.944,-1.17865,-1.45509,-1.33837
1648.427,-1.17026,-1.43981,-1.32237
1648.908,-1.16159,-1.42401,-1.30625
1649.391,-1.15304,-1.40794,-1.2901
1649.873,-1.14501,-1.3919,-1.27408
1650.355,-1.13778,-1.37609,-1.25831
1650.837,-1.13137,-1.36048,-1.24285
1651.319,-1.12528,-1.34461,-1.22759
1651.801,-1.11831,-1.32745,-1.21219
1652.283,-1.10885,-1.30762,-1.19602
1652.766,-1.09576,-1.28419,-1.17843
1653.248,-1.07934,-1.25776,-1.15922
1653.73,-1.06122,-1.23007,-1.13879
1654.212,-1.04316,-1.20285,-1.11778
1654.694,-1.02623,-1.177,-1.09668
1655.176,-1.01092,-1.15289,-1.07575
1655.658,-0.99744,-1.13059,-1.05509
1656.141,-0.98591,-1.11015,-1.03476
1656.623,-0.97633,-1.09155,-1.01479
1657.105,-0.96854,-1.07462,-0.99516
1657.587,-0.96204,-1.05888,-0.97579
1658.069,-0.95595,-1.04351,-0.95647
1658.551,-0.94917,-1.02752,-0.93694
1659.033,-0.9408,-1.01013,-0.91694
1659.516,-0.93035,-0.99091,-0.89628
1659.998,-0.91772,-0.96986,-0.87491
1660.48,-0.90298,-0.94706,-0.85283
1660.962,-0.88621,-0.92263,-0.83007
1661.444,-0.8673,-0.89648,-0.80666
1661.926,-0.84585,-0.86828,-0.78253
1662.408,-0.82118,-0.83731,-0.7575
1662.891,-0.79253,-0.80276,-0.73129
1663.373,-0.75972,-0.76423,-0.70367
1663.855,-0.724,-0.72266,-0.67467
1664.337,-0.68837,-0.68074,-0.64488
1664.819,-0.65634,-0.64177,-0.61524
1665.301,-0.63044,-0.60796,-0.58658
1665.783,-0.61171,-0.5801,-0.55947
1666.265,-0.59992,-0.55782,-0.53433
1666.748,-0.59346,-0.53964,-0.51138
1667.23,-0.58903,-0.52278,-0.4903
1667.712,-0.58266,-0.50405,-0.47013
1668.194,-0.57137,-0.48116,-0.44973
1668.676,-0.55356,-0.45304,-0.42823
1669.158,-0.52835,-0.41909,-0.405
1669.64,-0.49535,-0.3791,-0.37948
1670.123,-0.45576,-0.33423,-0.35154
1670.605,-0.41359,-0.28808,-0.32214
1671.087,-0.37374,-0.24484,-0.29302
1671.569,-0.33868,-0.20644,-0.26537
1672.051,-0.30843,-0.17257,-0.23954
1672.533,-0.28195,-0.14217,-0.21539
1673.015,-0.2582,-0.11424,-0.19264
1673.498,-0.2364,-0.08808,-0.17107
1673.98,-0.21609,-0.06342,-0.15052
1674.462,-0.1971,-0.04017,-0.13087
1674.944,-0.17937,-0.0184,-0.11209
1675.426,-0.16299,0.00174,-0.09415
1675.908,-0.14805,0.0201,-0.07707
1676.39,-0.13477,0.03644,-0.0609
1676.873,-0.12346,0.05047,-0.04581
1677.355,-0.11463,0.06165,-0.03207
1677.837,-0.1088,0.04292,-0.0422
1678.319,-0.10639,0.01939,-0.05514
1678.801,-0.10735,-0.00831,-0.07051
1679.283,-0.11111,-0.03967,-0.08818
1679.765,-0.11699,-0.07389,-0.10777
1680.248,-0.1247,-0.11047,-0.12887
1680.729,-0.13433,-0.14909,-0.15109
1681.212,-0.14596,-0.18983,-0.17462
1681.694,-0.15939,-0.23234,-0.19951
1682.176,-0.17393,-0.2762,-0.22619
1682.658,-0.1884,-0.32062,-0.25505
1683.14,-0.20122,-0.36447,-0.28631
1683.622,-0.21075,-0.40654,-0.31965
1684.104,-0.21587,-0.4458,-0.35434
1684.587,-0.21604,-0.48171,-0.38963
1685.069,-0.2111,-0.51388,-0.42489
1685.551,-0.20128,-0.54251,-0.4599
1686.033,-0.18737,-0.56826,-0.49478
1686.515,-0.17092,-0.59254,-0.52997
1686.997,-0.15409,-0.61744,-0.56628
1687.479,-0.13907,-0.64504,-0.60465
1687.962,-0.12719,-0.67669,-0.64585
1688.444,-0.11846,-0.71226,-0.69011
1688.926,-0.11187,-0.75067,-0.73719
1689.408,-0.10595,-0.79039,-0.78649
1689.89,-0.09941,-0.83004,-0.83734
1690.372,-0.09141,-0.86875,-0.88914
1690.854,-0.08157,-0.9061,-0.94146
1691.337,-0.06996,-0.94213,-0.99405
1691.819,-0.0571,-0.97715,-1.04664
1692.301,-0.04392,-1.01194,-1.09925
1692.783,-0.03151,-1.04731,-1.15194
1693.265,-0.02076,-1.08385,-1.20478
1693.747,-0.01207,-1.12176,-1.25784
1694.229,-0.0055,-1.16089,-1.3111
1.69E+03,-9.13E-04,-1.20104,-1.36451
1695.194,0.00181,-1.2419,-1.41794
1695.676,0.00265,-1.28341,-1.4713
1696.158,0.00145,-1.32562,-1.52449
1696.64,-0.00207,-1.36873,-1.57737
1697.122,-0.00822,-1.41301,-1.62986
1697.604,-0.01725,-1.45879,-1.68193
1698.086,-0.02917,-1.50624,-1.73353
1698.569,-0.04358,-1.55523,-1.78459
1699.051,-0.0595,-1.60494,-1.83471
1699.533,-0.07519,-1.65377,-1.88317
1700.015,-0.0881,-1.69919,-1.92881
1700.497,-0.09543,-1.73836,-1.97032
1700.979,-0.09562,-1.76977,-2.00687
