Wave number (cm-1),Transmitance (%),,
,PB made with 25 g rice bran,PB made with 50 g rice bran,PB made with 100 g rice bran
566.0289,-6.31656,-6.69649,-6.60369
566.511,-6.30509,-6.68561,-6.59538
566.9932,-6.29477,-6.67584,-6.58566
567.4753,-6.28614,-6.66661,-6.57433
567.9574,-6.27872,-6.6572,-6.5612
568.4396,-6.27134,-6.64692,-6.54617
568.9217,-6.26283,-6.63532,-6.5294
569.4038,-6.25272,-6.62223,-6.51131
569.886,-6.2414,-6.6077,-6.49263
570.3681,-6.22989,-6.59198,-6.47421
570.8502,-6.2193,-6.57534,-6.45684
571.3324,-6.21016,-6.55796,-6.441
571.8145,-6.20226,-6.54004,-6.4268
572.2966,-6.19478,-6.52171,-6.41401
572.7787,-6.18683,-6.50316,-6.4021
573.2609,-6.17794,-6.48468,-6.39056
573.743,-6.16844,-6.46658,-6.37892
574.2252,-6.15921,-6.44919,-6.36695
574.7073,-6.15121,-6.43263,-6.35464
575.1895,-6.14504,-6.4169,-6.34212
575.6716,-6.14055,-6.40186,-6.32968
576.1537,-6.13706,-6.38733,-6.31757
576.6359,-6.13377,-6.37309,-6.30609
577.118,-6.13021,-6.35896,-6.29537
577.6002,-6.12657,-6.34469,-6.28552
578.0823,-6.12355,-6.32995,-6.2765
578.5644,-6.12195,-6.31434,-6.26812
579.0466,-6.12214,-6.29748,-6.26013
579.5287,-6.12377,-6.27907,-6.25213
580.0108,-6.12575,-6.25903,-6.24372
580.493,-6.12666,-6.23757,-6.23451
580.9751,-6.12533,-6.21514,-6.22416
581.4572,-6.12124,-6.19234,-6.21251
581.9394,-6.11462,-6.16977,-6.19945
582.4215,-6.10629,-6.14785,-6.185
582.9036,-6.0971,-6.12675,-6.1692
583.3858,-6.08756,-6.10651,-6.15218
583.8679,-6.0777,-6.08708,-6.1341
584.35,-6.06718,-6.06848,-6.11516
584.8322,-6.05567,-6.05088,-6.09564
585.3143,-6.04322,-6.03448,-6.0758
585.7964,-6.0304,-6.01945,-6.05586
586.2786,-6.01801,-6.00581,-6.03597
586.7607,-6.00673,-5.99332,-6.01622
587.2429,-5.99678,-5.98157,-5.99668
587.725,-5.9877,-5.97003,-5.97742
588.2072,-5.97861,-5.95821,-5.95862
588.6893,-5.96859,-5.94578,-5.94046
589.1714,-5.95705,-5.93258,-5.92315
589.6536,-5.94393,-5.91859,-5.90679
590.1357,-5.92969,-5.90394,-5.89138
590.6179,-5.91491,-5.88873,-5.87675
591.1,-5.89998,-5.87306,-5.86258
591.5821,-5.8849,-5.85706,-5.84857
592.0643,-5.86928,-5.84088,-5.83435
592.5464,-5.85261,-5.82473,-5.81966
593.0285,-5.83466,-5.80884,-5.80432
593.5107,-5.81562,-5.79336,-5.78835
593.9928,-5.79607,-5.77833,-5.7718
594.4749,-5.77669,-5.7636,-5.75483
594.9571,-5.75786,-5.7489,-5.73764
595.4392,-5.73947,-5.73395,-5.72037
595.9213,-5.72099,-5.71853,-5.7032
596.4035,-5.70174,-5.7026,-5.68619
596.8856,-5.6813,-5.68624,-5.66926
597.3677,-5.65992,-5.66968,-5.65218
597.8499,-5.63847,-5.6532,-5.63455
598.332,-5.61825,-5.637,-5.61593
598.8141,-5.6005,-5.62121,-5.59594
599.2963,-5.58586,-5.60586,-5.57449
